text,category
Gavana ametangaza sera mpya ya elimu,siasa
Madaktari wamegundua matibabu mapya ya ugonjwa,afya
Msanii wa filamu ameshinda tuzo ya kimataifa,burudani
Waziri wa Fedha wamepata mkataba mkubwa wa kimataifa wiki hii,biashara
Hospitali kuu wamegundua matibabu mapya ya ugonjwa mjini Dar es Salaam,afya
Kampuni kubwa imeripoti ukuaji wa uchumi wiki hii,biashara
Wizara ya Afya wamegundua matibabu mapya ya ugonjwa jana jioni,afya
Mwandishi wa vitabu wamepanga tamasha kubwa la muziki jana jioni,burudani
Tume ya Uchaguzi ametangaza sera mpya ya elimu mwishoni mwa wiki,siasa
Msanii wa filamu ameandika kitabu kipya cha hadithi wiki hii,burudani
Mwanariadha imefunga msimu kwa ushindi mkubwa mwezi huu,michezo
Kikundi cha ngoma wamezindua filamu mpya wiki hii wiki hii,burudani
Shirika la afya duniani wametoa tahadhari kuhusu mlipuko wa ugonjwa,afya
Studio ya sanaa wamepanga tamasha kubwa la muziki nchini Kenya,burudani
Klabu ya Simba imeshinda mechi ya kirafiki wiki hii,michezo
Mwandishi wa vitabu amepata mafanikio makubwa mtandaoni mjini Dar es Salaam,burudani
Kituo cha afya imezindua kituo kipya cha afya,afya
Sekta ya kilimo imeongeza thamani ya sarafu wiki hii,biashara
Tamasha la muziki amepata mafanikio makubwa mtandaoni leo asubuhi,burudani
Kikundi cha ngoma amerudi jukwaani baada ya mapumziko nchini Tanzania,burudani
Soko la bidhaa imepunguza riba ya benki mjini Nairobi,biashara
Spika wa Bunge amefanya ziara ya kikazi mkoani mjini Dar es Salaam,siasa
Bingwa wa riadha imefunga msimu kwa ushindi mkubwa mwezi huu,michezo
Madaktari wametoa tahadhari kuhusu mlipuko wa ugonjwa nchini Kenya,afya
Timu ya vijana amevunja rekodi ya taifa wiki hii,michezo
Klabu ya Yanga ameteuliwa kuwa nahodha wa timu wiki hii,michezo
Bingwa wa riadha amepata jeraha kabla ya mechi kubwa mjini Nairobi,michezo
Shirika la afya duniani wametoa elimu kuhusu lishe bora mjini Nairobi,afya
Soko la hisa wameongeza bei ya mafuta mwezi huu,biashara
Mwanariadha wamejiandaa kwa fainali za bara leo asubuhi,michezo
Msanii wa filamu amezinduliwa kama balozi wa utamaduni,burudani
Mwanariadha wameanza maandalizi ya kombe la dunia,michezo
Wafanyabiashara imezindua huduma mpya za kidijitali mwezi huu,biashara
Wataalamu wa afya imeripoti ongezeko la wagonjwa jana jioni,afya
Klabu ya mpira imetangaza wachezaji wapya mwishoni mwa wiki,michezo
Shirika la kodi imeidhinisha mkopo mpya wa maendeleo,biashara
Kikundi cha ngoma ametoa wimbo mpya wenye mafanikio,burudani
Kocha mkuu wamejiandaa kwa fainali za bara nchini Tanzania,michezo
Wagonjwa wametoa elimu kuhusu lishe bora nchini Tanzania,afya
Tamasha la muziki atafanya tamasha jijini wiki ijayo,burudani
Studio ya sanaa wamezindua filamu mpya wiki hii,burudani
Mbunge wa jimbo ameunda kamati ya kuchunguza rushwa mwezi huu,siasa
Msanii maarufu ameandika kitabu kipya cha hadithi katika mkutano wa hivi karibuni,burudani
Bunge amesaini sheria mpya bungeni nchini Kenya,siasa
Wafanyabiashara imepunguza riba ya benki mwishoni mwa wiki,biashara
Baraza la Mawaziri ametoa hotuba kuhusu maendeleo ya taifa jana jioni,siasa
Taasisi ya utafiti wa afya wamegundua matibabu mapya ya ugonjwa,afya
Kocha mkuu imepanda daraja baada ya ushindi nchini Tanzania,michezo
Mwigizaji wamepanga tamasha kubwa la muziki mwishoni mwa wiki,burudani
Waziri wa Mambo ya Ndani ametoa tamko kuhusu usalama wa nchi mjini Dar es Salaam,siasa
Msanii wa filamu wamezindua filamu mpya wiki hii nchini Kenya,burudani
Waziri wa Mambo ya Ndani ameahidi kuboresha miundombinu nchini Kenya,siasa
Timu ya vijana wameanza maandalizi ya kombe la dunia nchini Tanzania,michezo
Mbunge wa jimbo ametoa tamko kuhusu usalama wa nchi leo asubuhi,siasa
Spika wa Bunge amezindua mradi wa maji vijijini mjini Nairobi,siasa
Kipindi cha televisheni wamezindua filamu mpya wiki hii,burudani
Spika wa Bunge ametangaza sera mpya ya elimu nchini Tanzania,siasa
Timu ya vijana ameteuliwa kuwa nahodha wa timu,michezo
Wawekezaji wa kigeni imeripoti ukuaji wa uchumi jana jioni,biashara
Soko la bidhaa imeongeza thamani ya sarafu leo asubuhi,biashara
Waziri Mkuu amezindua mradi wa maji vijijini mjini Nairobi,siasa
Baraza la Mawaziri ameahidi kuboresha miundombinu,siasa
Shirika la kodi imepunguza riba ya benki jana jioni,biashara
Mbunge wa jimbo amezindua mradi wa maji vijijini,siasa
Waziri wa Mambo ya Ndani amesaini sheria mpya bungeni,siasa
Wauguzi wamegundua matibabu mapya ya ugonjwa wiki hii,afya
Gavana ameunda kamati ya kuchunguza rushwa nchini Kenya,siasa
Shirikisho la mpira wa miguu imefunga msimu kwa ushindi mkubwa nchini Tanzania,michezo
Studio ya sanaa ameshinda tuzo ya kimataifa mwezi huu,burudani
Mwigizaji amepata mafanikio makubwa mtandaoni mjini Dar es Salaam,burudani
Spika wa Bunge ameunda kamati ya kuchunguza rushwa mwishoni mwa wiki,siasa
Klabu ya Yanga amepata jeraha kabla ya mechi kubwa mwishoni mwa wiki,michezo
Bendi ya muziki wameshiriki tamasha la kimataifa,burudani
Soko la hisa imetangaza faida kubwa mwaka huu katika mkutano wa hivi karibuni,biashara
Kampuni ya filamu ameshinda tuzo ya kimataifa,burudani
Kampuni kubwa imepunguza riba ya benki nchini Kenya,biashara
Waziri wa Mambo ya Ndani ametangaza sera mpya ya elimu nchini Kenya,siasa
Hospitali kuu wamesisitiza umuhimu wa uchunguzi wa mapema mjini Dar es Salaam,afya
Kiongozi wa upinzani amesaini sheria mpya bungeni,siasa
Bunge ameahidi kuboresha miundombinu nchini Tanzania,siasa
Soko la bidhaa wamepata mkataba mkubwa wa kimataifa mjini Nairobi,biashara
Tamasha la muziki wameshiriki tamasha la kimataifa,burudani
Gavana amewaita viongozi kwa mkutano wa dharura jana jioni,siasa
Kituo cha afya wametoa tahadhari kuhusu mlipuko wa ugonjwa mjini Dar es Salaam,afya
Idara ya chanjo wamesisitiza umuhimu wa uchunguzi wa mapema mjini Nairobi,afya
Klabu ya Yanga imefunga msimu kwa ushindi mkubwa jana jioni,michezo
Mchezaji nyota imefunga msimu kwa ushindi mkubwa nchini Kenya,michezo
Kipindi cha televisheni wamepanga tamasha kubwa la muziki nchini Tanzania,burudani
Msanii maarufu amerudi jukwaani baada ya mapumziko mjini Nairobi,burudani
Mfumo wa fedha imeongeza thamani ya sarafu katika mkutano wa hivi karibuni,biashara
Kampuni ya filamu ameandika kitabu kipya cha hadithi,burudani
Idara ya chanjo wametoa tahadhari kuhusu mlipuko wa ugonjwa,afya
Klabu ya Simba imetangaza wachezaji wapya katika mkutano wa hivi karibuni,michezo
Idara ya chanjo imezindua kituo kipya cha afya nchini Kenya,afya
Taasisi ya utafiti wa afya imeripoti ongezeko la wagonjwa,afya
Tume ya Uchaguzi amepitisha bajeti ya serikali leo asubuhi,siasa
Klabu ya Simba amevunja rekodi ya taifa nchini Kenya,michezo
Bingwa wa riadha amevunja rekodi ya taifa mjini Nairobi,michezo
Waziri wa Fedha wameongeza bei ya mafuta nchini Kenya,biashara
Gavana amefanya ziara ya kikazi mkoani,siasa
Mwandishi wa vitabu ameshinda tuzo ya kimataifa mwezi huu,burudani
Wagonjwa imepokea vifaa vipya vya kisasa wiki hii,afya
Spika wa Bunge amewaita viongozi kwa mkutano wa dharura mjini Nairobi,siasa
Spika wa Bunge amepitisha bajeti ya serikali leo asubuhi,siasa
Baraza la Mawaziri amesaini sheria mpya bungeni jana jioni,siasa
Mwigizaji ameshinda tuzo ya kimataifa nchini Kenya,burudani
Soko la hisa imezindua huduma mpya za kidijitali mjini Nairobi,biashara
Bendi ya muziki amerudi jukwaani baada ya mapumziko jana jioni,burudani
Mwanariadha ameteuliwa kuwa nahodha wa timu,michezo
Waziri wa Mambo ya Ndani amepitisha bajeti ya serikali mjini Dar es Salaam,siasa
Wizara ya Afya wametoa elimu kuhusu lishe bora mwishoni mwa wiki,afya
Wafanyabiashara wamefungua matawi mapya nchini nchini Tanzania,biashara
Shirika la kodi wamefungua matawi mapya nchini mjini Dar es Salaam,biashara
